,Coin,Pair_tuple,Exchange
0,ZRX,USDT,Okex
1,ACE,USDT,Okex
2,ACT,USDT,Okex
3,AAC,USDT,Okex
4,ADX,USDT,Hitbtc
5,ELF,USDT,Okex
6,AE,USDT,Okex
7,AIDOC,USDT,Okex
8,AST,USDT,Okex
9,AIR,USDT,Hitbtc
10,SOC,USDT,Okex
11,ACAT,USDT,Hitbtc
12,AMB,USDT,Hitbtc
13,AVH,USDT,Hitbtc
14,APPC,USDT,Hitbtc
15,ANT,USD,Bitfinex
16,ARCT,USDT,Hitbtc
17,ABT,USDT,Okex
18,ARDR,USDT,Hitbtc
19,ARK,USDT,Okex
20,XAS,USDT,Okex
21,ATB,USDT,Hitbtc
22,ATL,USDT,Okex
23,ATM,USDT,Hitbtc
24,REP,USDT,Poloniex
25,AVT,USDT,Okex
26,BANCA,USDT,Hitbtc
27,BNT,USDT,Hitbtc
28,BNK,USDT,Hitbtc
29,BKX,USDT,Okex
30,BETR,USDT,Hitbtc
31,BEZ,USDT,Hitbtc
32,BNB,USDT,Binance
33,CAT,USDT,Hitbtc
34,BTC,USDT,Binance
35,BCH,USDT,Okex
36,BCD,USDT,Okex
37,BTG,USD,Bitfinex
38,BCI,USD,Bitfinex
39,BTCP,USDT,Hitbtc
40,BTX,USDT,Hitbtc
41,STU,USDT,Hitbtc
42,KAN,USDT,Okex
43,BSTN,USDT,Hitbtc
44,BMC,USDT,Hitbtc
45,BCPT,USDT,Hitbtc
46,VEE,USDT,Okex
47,CDT,USDT,Hitbtc
48,BRD,USDT,Okex
49,BUBO,USDT,Hitbtc
50,BCN,USDT,Hitbtc
51,BTM,USDT,Okex
52,ADA,USDT,Binance
53,CAS,USDT,Hitbtc
54,CBC,USDT,Hitbtc
55,CHX,USDT,Hitbtc
56,LINK,USDT,Okex
57,CAG,USDT,Okex
58,CHAT,USDT,Okex
59,DAY,USDT,Hitbtc
60,CND,USDT,Hitbtc
61,CVC,USDT,Okex
62,CLD,USDT,Hitbtc
63,CL,USDT,Hitbtc
64,CBT,USDT,Okex
65,CSM,USDT,Hitbtc
66,CAN,USDT,Okex
67,CTXC,USDT,Okex
68,CS,USDT,Kucoin
69,CMCT,USDT,Hitbtc
70,CRPT,USDT,Hitbtc
71,AUTO,USDT,Okex
72,CVCOIN,USDT,Hitbtc
73,CMT,USDT,Okex
74,CVT,USDT,Okex
75,DADI,USDT,Okex
76,DASH,USDT,Okex
77,DAT,USDT,Okex
78,DBET,USDT,Hitbtc
79,MANA,USDT,Okex
80,DCR,USDT,Bittrex
81,DPY,USDT,Okex
82,DENT,USDT,Okex
83,DCN,USDT,Hitbtc
84,DGB,USDT,Bittrex
85,XDN,USDT,Hitbtc
86,DGD,USDT,Okex
87,DIM,USDT,Hitbtc
88,DNT,USDT,Okex
89,DOGE,USDT,Hitbtc
90,DRT,USDT,Hitbtc
91,DOR,USDT,Hitbtc
92,DRGN,USDT,Kucoin
93,DWS,USDT,Hitbtc
94,EBTCNEW,USDT,Hitbtc
95,EKO,USDT,Hitbtc
96,EGT,USDT,Okex
97,EDO,USDT,Hitbtc
98,EJOY,USDT,Hitbtc
99,ELEC,USDT,Hitbtc
100,EMC,USDT,Hitbtc
101,DNA,USDT,Okex
102,ENG,USDT,Okex
103,ENJ,USDT,Okex
104,EOS,USDT,Okex
105,ETH,USDT,Okex
106,ETC,USDT,Okex
107,FUEL,USDT,Hitbtc
108,LEND,USDT,Okex
109,EVX,USDT,Okex
110,IQX,USD,Bitfinex
111,XUC,USDT,Okex
112,FAIR,USDT,Okex
113,1ST,USDT,Okex
114,FLP,USDT,Hitbtc
115,FREC,USDT,Hitbtc
116,FDZ,USDT,Hitbtc
117,FUN,USDT,Okex
118,GTC,USDT,Okex
119,GAS,USDT,Okex
120,GNX,USDT,Okex
121,GTO,USDT,Okex
122,GSC,USDT,Okex
123,GNO,USD,Kraken
124,GBX,USDT,Hitbtc
125,GNT,USDT,Okex
126,HAV,USDT,Kucoin
127,HBZ,USDT,Hitbtc
128,HMC,USDT,Okex
129,HPB,USDT,Okex
130,HSR,USDT,Okex
131,HTML,USDT,Hitbtc
132,HYC,USDT,Okex
133,HOT,USDT,Okex
134,ICX,USDT,Binance
135,ICN,USDT,Okex
136,ICOS,USDT,Hitbtc
137,REX,USDT,Hitbtc
138,INK,USDT,Hitbtc
139,INS,USDT,Okex
140,INSUR,USDT,Okex
141,INT,USDT,Okex
142,IOST,USDT,Okex
143,ITC,USDT,Okex
144,IOTA,USDT,Binance
145,IPC,USDT,Okex
146,KRM,USDT,Hitbtc
147,KCASH,USDT,Okex
148,KMD,USDT,Hitbtc
149,KCS,USDT,Kucoin
150,KNC,USDT,Okex
151,LA,USDT,Okex
152,LUC,USDT,Hitbtc
153,LEV,USDT,Okex
154,LBA,USDT,Okex
155,LIGHT,USDT,Okex
156,LET,USDT,Okex
157,LSK,USDT,Hitbtc
158,LTC,USDT,Okex
159,LOC,USDT,Hitbtc
160,LOOM,USDT,Kucoin
161,LRC,USDT,Okex
162,MAG,USDT,Okex
163,MAID,USDT,Hitbtc
164,MKR,USDT,Okex
165,MAN,USDT,Hitbtc
166,MTX,USDT,Hitbtc
167,MCO,USDT,Okex
168,MDT,USDT,Okex
169,MVP,USDT,Okex
170,MTL,USDT,Okex
171,ETP,USD,Bitfinex
172,AMM,USDT,Okex
173,MITH,USDT,Okex
174,EMGO,USDT,Hitbtc
175,MDA,USDT,Okex
176,MOF,USDT,Okex
177,XMR,USDT,Hitbtc
178,XMC,USDT,Hitbtc
179,XMO,USDT,Hitbtc
180,MTH,USDT,Okex
181,NGC,USDT,Hitbtc
182,NANO,USDT,Kucoin
183,NAS,USDT,Okex
184,XEM,USDT,Hitbtc
185,NEO,USDT,Binance
186,NEU,USDT,Hitbtc
187,NTK,USDT,Hitbtc
188,NEXO,USDT,Hitbtc
189,NOAH,USDT,Hitbtc
190,NULS,USDT,Binance
191,NUSD,USDT,Kucoin
192,NXT,USDT,Hitbtc
193,OAX,USDT,Hitbtc
194,OF,USDT,Okex
195,MOT,USDT,Okex
196,OMG,USDT,Okex
197,RNT,USDT,Okex
198,ONT,USDT,Binance
199,ORS,USDT,Okex
200,OST,USDT,Okex
201,PRL,USDT,Kucoin
202,PRG,USDT,Hitbtc
203,PAT,USDT,Hitbtc
204,PPC,USDT,Hitbtc
205,PLR,USDT,Hitbtc
206,POE,USDT,Okex
207,NCT,USDT,Hitbtc
208,PPT,USDT,Okex
209,PST,USDT,Okex
210,PRA,USDT,Okex
211,PAI,USD,Bitfinex
212,QTUM,USDT,Okex
213,QUN,USDT,Okex
214,QVT,USDT,Okex
215,RDN,USDT,Okex
216,READ,USDT,Okex
217,RCT,USDT,Okex
218,RFR,USDT,Okex
219,REF,USDT,Okex
220,BERRY,USDT,Hitbtc
221,REN,USDT,Okex
222,REQ,USDT,Okex
223,R,USDT,Okex
224,RCN,USDT,Okex
225,SALT,USDT,Okex
226,SAN,USDT,Okex
227,SVD,USDT,Hitbtc
228,B2X,USDT,Hitbtc
229,KEY,USDT,Okex
230,SSC,USDT,Okex
231,SENT,USDT,Hitbtc
232,SHOW,USDT,Okex
233,HAND,USDT,Hitbtc
234,SC,USDT,Bittrex
235,SNGLS,USDT,Okex
236,SRN,USDT,Hitbtc
237,SMART,USDT,Hitbtc
238,SMT,USDT,Hitbtc
239,SNM,USDT,Okex
240,SPC,USDT,Hitbtc
241,SMS,USDT,Hitbtc
242,SPF,USDT,Okex
243,STC,USDT,Okex
244,EURS,USDT,Hitbtc
245,SNT,USDT,Okex
246,XLM,USDT,Binance
247,STQ,USDT,Hitbtc
248,STORJ,USDT,Okex
249,STX,USDT,Hitbtc
250,STRAT,USDT,Hitbtc
251,DATA,USDT,Hitbtc
252,SUB,USDT,Hitbtc
253,SNC,USDT,Okex
254,SBTC,USDT,Hitbtc
255,SUR,USDT,Hitbtc
256,SWFTC,USDT,Okex
257,PAY,USDT,Okex
258,USDT,USD,Bitfinex
259,XTZ,USDT,Hitbtc
260,TKY,USDT,Kucoin
261,THETA,USDT,Okex
262,TNT,USDT,Hitbtc
263,TNB,USDT,Okex
264,TCT,USDT,Okex
265,TDS,USDT,Hitbtc
266,TKA,USDT,Hitbtc
267,TOPC,USDT,Okex
268,TIO,USDT,Okex
269,TRIO,USDT,Okex
270,TRX,USDT,Binance
271,TRUE,USDT,Okex
272,TUSD,USDT,Binance
273,UCT,USDT,Okex
274,UGC,USDT,Okex
275,UKG,USDT,Okex
276,UBTC,USDT,Okex
277,UTT,USDT,Hitbtc
278,UTK,USDT,Okex
279,VET,USDT,Binance
280,XVG,USDT,Bittrex
281,VERI,USDT,Hitbtc
282,VIB,USDT,Okex
283,VIT,USDT,Hitbtc
284,VIU,USDT,Okex
285,WTC,USDT,Okex
286,WAVES,USDT,Okex
287,WAX,USDT,Hitbtc
288,WIKI,USDT,Hitbtc
289,WRC,USDT,Okex
290,XRP,USDT,Binance
291,YEE,USDT,Okex
